Date,date,ticker,close,srs,daily_returns,daily_vol,target_returns,norm_daily_return,norm_monthly_return,norm_quarterly_return,norm_biannual_return,norm_annual_return,macd_8_24,macd_16_48,macd_32_96,day_of_week,day_of_month,week_of_year,month_of_year,year,cp_rl_126,cp_score_126,cp_rl_21,cp_score_21
1991-03-13,1991-03-13,AAPL,0.591517266,0.591517266,0.05367793342548377,0.029215447162091724,-0.004881941738827008,1.8373134296959575,0.59328168027125,2.8300004495682205,2.892364297356786,1.7308198390903287,1.287639970922725,1.8286399921389525,2.0303628206280266,2,13,11,3,1991,0.758581956820723,0.9999002225832068,0.3324163182158242,0.8759738086188021
1991-03-14,1991-03-14,AAPL,0.582588703,0.582588703,-0.015094340458356115,0.029029353181907892,0.004988536312409229,-0.5199681978365069,0.6577502855500013,2.806641644220393,2.8642712631128475,1.682867357065537,1.294879882950744,1.8406370790657356,2.057958949508113,3,14,11,3,1991,0.7858222884548028,0.999971212698996,0.3799293080951158,0.8574665223639779
1991-03-15,1991-03-15,AAPL,0.591517266,0.591517266,0.015325671359611048,0.02858667214058355,0.007483982093648275,0.5361124682244388,0.795161824849073,2.757901126115197,2.955982980018981,1.423454506328299,1.3069293349924564,1.849081751656476,2.078607356445204,4,15,11,3,1991,0.7944853829417577,0.999984450719064,0.4280622480464904,0.8031919526098645
1991-03-18,1991-03-18,AAPL,0.604910109,0.604910109,0.022641508151682643,0.02824575486831105,0.008641051026176051,0.8015897701174268,1.4369441537616945,3.118104872680098,3.1773618891972206,1.3354968950611663,1.3376682039534398,1.8667200919229372,2.1045531296847804,0,18,12,3,1991,0.8020262213931594,0.9999913400714028,0.475972503068008,0.7267408607445072
1991-03-19,1991-03-19,AAPL,0.620535094,0.620535094,0.02583025935180716,0.027963360307676027,-0.008508536991915323,0.9237180034016397,1.608139336364922,3.2983990585863054,3.4483548629546075,1.531316270630702,1.3817576439727661,1.885763926588888,2.1265467296887537,1,19,12,3,1991,0.8097898988770991,0.999994982167304,0.5234439283166564,0.7980636924871234
1991-03-20,1991-03-20,AAPL,0.604910109,0.604910109,-0.025179857112158754,0.028160567063548997,-0.014858040579743912,-0.894153056482713,1.000920090581114,2.7002364454701016,3.4312241673506105,1.4039782692648672,1.381934957466741,1.8889800715630527,2.142024556936794,2,20,12,3,1991,0.8177153241942726,0.999995243473948,0.5711053020153691,0.7752328303908861
1991-03-21,1991-03-21,AAPL,0.578124422,0.578124422,-0.04428044200530945,0.029211680671972894,-0.007493521168415269,-1.5158471196008334,0.45923527043503043,2.356022657667647,3.19435762514164,1.2700675312187677,1.3373438222061285,1.8871297412707482,2.1675592185713124,3,21,12,3,1991,0.8258313268511509,0.9999940216257588,0.6030086062719798,0.8886315957547758
1991-03-22,1991-03-22,AAPL,0.564731578,0.564731578,-0.023166023593447327,0.029194484370293556,0.006396459550401379,-0.793506859022302,0.5384265342867878,1.88802166331499,3.0757220995060015,1.0724856754233463,1.2659988770164563,1.8692777035432218,2.1818853028487215,4,22,12,3,1991,0.3892306562909735,0.8103902780161796,0.0952685101270736,0.6561410688150242
1991-03-25,1991-03-25,AAPL,0.575892281,0.575892281,0.019762845632832704,0.028837240210052427,0.027940892271174318,0.6853237511245455,0.6015785729820332,1.8932071038269898,3.497810102246689,1.1504012231123044,1.2189256724714066,1.8541714772912614,2.1920206576239547,0,25,13,3,1991,0.8413603623869055,0.999997273193579,0.2962609556650721,0.8469077120649279
1991-03-26,1991-03-26,AAPL,0.624999375,0.624999375,0.08527131830058332,0.031789810196959506,-0.0031846835543945635,2.6823475123717153,1.4202201502499523,2.341868266991388,3.736504667607627,1.3210538942002699,1.2603815275612522,1.8618137346633925,2.2004705287028563,1,26,13,3,1991,0.8493471603296845,0.9999866960153349,0.1915889790873496,0.9474880297949604
